#Parameters = {dl_sl=4.3535280897508; h_s=1.575; l_coax=5; ot_ser=0.20476068316892; rad_1=4.86; rad_2=4.8558371947092; rad_air=0.35; rad_via=0.15; t=0.018; w_sl=0.49158578928185; x_S=20; x_c=1.1613013444685; y_c=1.582427976409}
#"Frequency / GHz"	"Realized Gain,Theta=0,Phi=90 [Real Part]"
#------------------------------------------------------------
9.0000000000000	0.060958628291367
9.2000000000000	0.092957361201362
9.4000000000000	0.14543529759246
9.6000000000000	0.23322492656520
9.8000000000000	0.38033604454180
10.000000000000	0.61895774831988
10.040000000000	0.68013121556783
10.080000000000	0.74558209657803
10.120000000000	0.81392583446090
10.160000000000	0.87955794347188
10.200000000000	0.91639064869015
10.240000000000	0.88495358485453
10.280000000000	0.82410389902483
10.320000000000	0.76176269850745
10.360000000000	0.70344759994959
10.400000000000	0.65012711470907
10.600000000000	0.45020319980787
10.800000000000	0.32792547379663
11.000000000000	0.25042132713198
