#Parameters = {dl_sl=4.3535280897508; h_s=1.575; l_coax=5; ot_ser=0.20476068316892; rad_1=4.86; rad_2=4.8558371947092; rad_air=0.35; rad_via=0.15; t=0.018; w_sl=0.49158578928185; x_S=20; x_c=1.1613013444685; y_c=1.582427976409}
#"Frequency / GHz"	"Realized Gain,Phi=90,Max. Value (Subrange) [Real Part]"
#--------------------------------------------------------------------------
9.0000000000000	2.6511962774259
9.2000000000000	3.8442537206613
9.4000000000000	5.0673910107405
9.6000000000000	6.1994317663490
9.8000000000000	6.9969264279153
10.000000000000	7.2854537777054
10.040000000000	7.2972234001403
10.080000000000	7.3016721582144
10.120000000000	7.3024452298194
10.160000000000	7.3028418503167
10.200000000000	7.3053854127624
10.240000000000	7.3117625679073
10.280000000000	7.3219424479135
10.320000000000	7.3355169058952
10.360000000000	7.3513632703139
10.400000000000	7.3678455824982
10.600000000000	7.3923017080524
10.800000000000	7.1870806954722
11.000000000000	6.7169833945129
